file,check,severity,detail
../../data/raw/train/20-gro2015_jpg.rf.721c97a624a1b6bfbccb5c61a61f9870.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/16-cdmx2020bus-a_jpg.rf.455a171b607f9d533bbf56af4447cb33.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/16-Placa-2BGuerrero-2BServicio-2BPublico-2B999999E_jpg.rf.03b0dee40764817b14c6d255ea17b1cd.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/1649292507330_jpg.rf.1e8a42ca5411a950046f9babfecdfe80.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/1633449297103_png_jpg.rf.5460cec2c809e3bdaddcc10f7ced6b7a.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/21-Placa-2BGUERRERO-2BAutomovil-2BHCK-99-99-2BGuerrero-2BCumple-2BClavado-2BLa-2BQuebrada_jpg.rf.7751b4a2d169ceadf2cf2c28c0c484ad.jpg,box_suspiciously_large,WARN,rel_area=0.99
../../data/raw/train/Cars249_png_jpg.rf.9d714fc164e33fbde838f833d811610f.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/23-PLACA-IMG3222-GUERR-Nueva-HFX_jpg.rf.90e731ebc953ebb1023d67b2b3def7c9.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/17-cdmx2017policia-t_jpg.rf.ab6346a4baf7d51727b89e1cde39ac7d.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/19-gro8283_jpg.rf.4875ef59623d2d6c5033358aa3e4ed5c.jpg,box_suspiciously_large,WARN,rel_area=0.98
../../data/raw/train/1649292507324_jpg.rf.6682be78d437deb018b85d2a5c0704e4.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/19-cdmx2016rem_jpg.rf.6adc33f01ac29afc0df50e4d97084172.jpg,box_suspiciously_large,WARN,rel_area=0.99
../../data/raw/train/boderquandoi3_jpg.rf.c3695ae45a777235e7b8bb1d41009220.jpg,box_tiny,WARN,rel_area=3.11e-04 (18x11px)
../../data/raw/train/boderquandoi3_jpg.rf.c3695ae45a777235e7b8bb1d41009220.jpg,box_tiny,WARN,rel_area=2.98e-04 (19x10px)
../../data/raw/train/17-gro2018_jpg.rf.3af494d45fce319512900e9d79cfbd36.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/18-71EAMA2gJUL-_AC_SX450__jpg.rf.3a22f5e3005b271cd162b3529535bfe3.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/CarLongPlateGen2667_jpg.rf.ff10fc42e00dffa9b32756b751ee23b5.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/19-GRO-GY-99-999-Carga_jpg.rf.17f365e0c2d8b2cfae066f4029b3f349.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/CarLongPlateGen2616_jpg.rf.7e37ea51d1b7dffd0bd4f9d43dbffce0.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlate752_jpg.rf.38a4f3df630a21870c65e4bbbcb8ccd6.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/boderquandoi4_jpg.rf.4bfe74af9bee89899b467fce30518ca8.jpg,box_tiny,WARN,rel_area=3.84e-04 (18x13px)
../../data/raw/train/22-Placfa-extraviada_jpg.rf.1b9de09de95d17c72dcc304e84e50b02.jpg,box_suspiciously_large,WARN,rel_area=0.94
../../data/raw/train/rotatequandoi4_jpg.rf.7d73e168468104dffaadce92f01913fc.jpg,box_tiny,WARN,rel_area=4.58e-04 (26x11px)
../../data/raw/train/vintagevehicle_png_jpg.rf.5b665cc4082c18443a713bc17de79eba.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/rotatequandoi94_jpg.rf.5ffe010679cdb3b0dd03c59a3d13c17e.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/rotatequandoi63_jpg.rf.90c348157b861782a277974b7a816073.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen3711_jpg.rf.901e6d71cfa7d1fb3b27cfc23f36506b.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/vintagevehicle_png_jpg.rf.4fc022333d5ebd8cafc36ccf02979433.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/CarLongPlateGen3168_jpg.rf.7daeecfb0fd86ccb6bee497cdbac969c.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/vintagevehicle_png_jpg.rf.f71e332358a922d882c71c16364225ff.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/CarLongPlateGen3711_jpg.rf.b3eed1c9c39ca60e551d7eb99d3af737.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen3750_jpg.rf.b5de273964d5724411cae42ef40ae2be.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/rotatequandoi4_jpg.rf.1be292d9b648064601e2bffa1abb004a.jpg,box_tiny,WARN,rel_area=4.93e-04 (26x12px)
../../data/raw/train/40-placa-guerrero-00_jpg.rf.e92ccecb9f21772510d87050bac82572.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/73-D_NQ_NP_902506-MLM31711685330_082019-W_jpg.rf.de0ba8a2a8417809f1f759f98a981fe9.jpg,box_out_of_bounds,WARN,box exceeds image bounds
